valor,horario,localizacao,tipo_transacao,fraude
382.47,5,Porto Alegre,TED,não
220.41,12,Brasília,Boleto,não
179.9,16,Recife,Pix,não
445.69,14,Rio de Janeiro,Pix,sim
40.99,3,Salvador,Cartão Crédito,não
16.45,14,Porto Alegre,TED,não
54.76,13,São Paulo,Pix,não
316.54,20,Brasília,Cartão Crédito,não
7.06,10,Recife,Cartão Débito,não
,23,Brasília,Cartão Débito,não
1077.98,3,Salvador,Boleto,sim
387.17,2,Salvador,TED,não
147.4,1,Rio de Janeiro,Pix,não
13.15,19,São Paulo,Cartão Crédito,não
356.01,9,Salvador,Cartão Débito,não
182.75,12,Rio de Janeiro,Cartão Crédito,não
24.42,19,Salvador,Cartão Crédito,sim
19.71,20,Porto Alegre,Pix,não
480.76,22,Curitiba,TED,não
221.25,17,Rio de Janeiro,TED,não
353.55,20,Rio de Janeiro,Cartão Crédito,não
422.36,15,Brasília,Pix,não
169.62,10,Salvador,DOC,sim
145.73,9,Rio de Janeiro,Pix,não
112.57,8,Recife,Boleto,não
76.24,11,Porto Alegre,Cartão Crédito,não
114.04,18,Brasília,Boleto,não
297.34,0,Brasília,Cartão Crédito,não
184.22,17,Curitiba,Boleto,não
446.1,13,Porto Alegre,Pix,não
117.17,21,Recife,TED,não
186.83,20,Porto Alegre,Cartão Débito,não
199.56,0,Rio de Janeiro,Pix,não
179.15,16,Curitiba,Pix,não
242.56,10,Recife,TED,não
54.21,19,Curitiba,TED,não
143.64,14,Porto Alegre,TED,não
22.01,3,São Paulo,Boleto,não
97.07,14,Porto Alegre,Cartão Débito,não
133.76,21,Rio de Janeiro,Cartão Crédito,não
211.24,21,Curitiba,Pix,não
601.28,13,São Paulo,Cartão Crédito,não
183.58,21,Rio de Janeiro,Cartão Crédito,não
272.2,0,Curitiba,Cartão Crédito,não
141.15,8,Curitiba,TED,não
201.08,6,Porto Alegre,Pix,não
14.71,22,Salvador,Cartão Crédito,não
58.71,10,Curitiba,Cartão Crédito,não
89.84,22,Curitiba,DOC,não
127.92,1,Brasília,Pix,não
9.34,1,Salvador,Boleto,não
30.17,5,Curitiba,Pix,não
64.82,22,Porto Alegre,Pix,sim
711.8,18,Brasília,Pix,não
80.5,19,Brasília,TED,sim
131.57,13,São Paulo,TED,não
43.66,2,Rio de Janeiro,Pix,sim
188.72,6,Brasília,Pix,não
65.89,6,Recife,Pix,não
46.38,3,Brasília,Pix,não
145.37,22,Recife,TED,não
1.1,4,Salvador,Pix,sim
1.54,16,São Paulo,Pix,não
49.45,3,Recife,TED,não
7.48,22,São Paulo,Pix,não
22.86,12,São Paulo,Pix,não
82.76,15,São Paulo,Cartão Crédito,não
324.49,15,Recife,DOC,não
169.75,1,Recife,Cartão Crédito,não
143.76,17,São Paulo,DOC,não
69.48,0,Salvador,Cartão Débito,sim
536.93,17,São Paulo,Pix,não
101.17,7,Salvador,Boleto,não
18.22,10,Rio de Janeiro,DOC,não
191.98,23,Salvador,Cartão Débito,não
24.17,23,Salvador,TED,não
84.69,14,Salvador,Cartão Crédito,não
141.62,15,São Paulo,Boleto,não
414.65,16,Curitiba,Cartão Crédito,não
136.06,16,Rio de Janeiro,Cartão Crédito,não
242.31,11,Rio de Janeiro,Cartão Débito,sim
987.2,9,Rio de Janeiro,Cartão Crédito,não
28.2,19,Curitiba,Pix,não
64.24,5,Rio de Janeiro,Pix,não
100.37,7,Rio de Janeiro,Pix,não
109.58,12,Recife,Pix,sim
105.87,1,Porto Alegre,Pix,não
476.35,18,Recife,Boleto,sim
250.38,21,São Paulo,Cartão Crédito,sim
187.25,9,São Paulo,Pix,não
74.03,3,Salvador,Boleto,não
347.22,11,Brasília,TED,não
620.49,17,Porto Alegre,Cartão Crédito,não
344.3,6,Curitiba,Pix,não
0.31,19,Recife,Boleto,sim
202.34,23,São Paulo,Cartão Débito,não
10.5,23,Curitiba,Pix,não
59.58,22,Rio de Janeiro,Cartão Crédito,não
12.27,3,Curitiba,Cartão Crédito,não
185.16,6,Recife,Pix,não
232.05,9,Porto Alegre,Cartão Débito,não
24.32,14,Brasília,Cartão Crédito,não
96.85,11,Salvador,Pix,não
121.85,0,Recife,Pix,não
92.11,19,Salvador,Boleto,não
25.8,17,Porto Alegre,Cartão Crédito,não
108.58,15,São Paulo,Pix,não
278.2,4,Salvador,Cartão Crédito,sim
14.73,18,São Paulo,Pix,não
16.72,3,Curitiba,Cartão Crédito,não
87.63,5,Recife,Boleto,não
568.52,16,São Paulo,DOC,não
220.87,6,Rio de Janeiro,Boleto,não
227.06,23,Rio de Janeiro,Cartão Crédito,não
89.86,22,Brasília,TED,não
180.11,6,Curitiba,Cartão Crédito,não
2.04,8,São Paulo,Pix,não
202.17,12,Brasília,Cartão Crédito,não
489.03,19,Rio de Janeiro,Cartão Crédito,não
189.65,13,Brasília,TED,sim
413.82,15,Brasília,Cartão Crédito,sim
257.45,22,São Paulo,Boleto,não
25.69,8,São Paulo,Cartão Débito,não
465.48,14,São Paulo,Pix,não
13.75,4,Curitiba,Pix,não
152.7,17,Salvador,Cartão Crédito,não
30.66,20,Brasília,Cartão Crédito,não
2.36,19,Brasília,TED,não
109.65,7,Curitiba,Cartão Débito,não
69.92,14,Rio de Janeiro,Boleto,não
133.11,20,Recife,Cartão Débito,não
172.17,8,Salvador,DOC,não
8.94,18,Rio de Janeiro,Pix,não
26.25,21,Curitiba,TED,não
163.58,5,Salvador,Cartão Débito,não
84.07,3,Salvador,TED,não
261.26,10,Brasília,Cartão Débito,sim
211.28,9,Brasília,Cartão Crédito,não
373.65,2,São Paulo,TED,não
235.85,0,São Paulo,DOC,não
112.4,11,Brasília,Boleto,não
223.54,22,Brasília,Boleto,sim
64.42,14,Porto Alegre,Pix,sim
73.15,14,Salvador,Cartão Débito,não
311.17,20,São Paulo,Boleto,não
118.27,13,São Paulo,Cartão Débito,sim
320.27,6,Rio de Janeiro,Boleto,não
345.67,16,Brasília,TED,sim
389.77,23,Salvador,Boleto,não
496.91,18,Brasília,Cartão Crédito,não
112.77,6,Curitiba,Pix,não
76.8,2,Rio de Janeiro,Cartão Débito,não
174.55,2,Recife,TED,não
92.78,17,Recife,Cartão Débito,não
183.8,19,Recife,Cartão Crédito,não
244.55,21,Salvador,Cartão Crédito,não
233.21,13,Porto Alegre,TED,não
93.86,2,São Paulo,Boleto,não
36.51,6,Salvador,Cartão Crédito,não
112.61,6,Recife,DOC,não
30.77,4,Curitiba,Cartão Crédito,não
441.63,2,Salvador,Cartão Crédito,não
84.89,17,Salvador,DOC,não
33.56,14,São Paulo,DOC,não
5.16,19,São Paulo,Pix,não
207.59,13,Recife,Pix,não
202.62,3,São Paulo,Cartão Débito,não
83.29,23,Rio de Janeiro,Cartão Crédito,não
14.88,7,Rio de Janeiro,Pix,não
105.4,20,Recife,Cartão Crédito,não
74.57,12,Salvador,Pix,não
226.1,21,Curitiba,TED,não
186.17,7,São Paulo,Pix,não
90.7,14,Brasília,Cartão Débito,não
49.15,16,Salvador,Cartão Débito,não
885.17,4,Recife,Boleto,sim
121.03,19,Porto Alegre,TED,não
233.13,3,São Paulo,DOC,não
30.29,10,Recife,Cartão Crédito,sim
132.95,17,Recife,Pix,não
5.58,9,Curitiba,TED,não
140.82,16,Brasília,Cartão Crédito,não
664.94,14,São Paulo,TED,não
96.97,5,Recife,Pix,não
7.96,22,Recife,DOC,não
6.29,20,Salvador,Cartão Crédito,não
98.2,15,São Paulo,Cartão Débito,sim
34.88,14,Recife,Pix,não
4.73,7,Recife,DOC,não
282.29,8,Recife,TED,não
122.69,10,Rio de Janeiro,Pix,sim
68.29,1,Rio de Janeiro,Boleto,sim
460.68,12,Brasília,Pix,não
24.69,3,Curitiba,Pix,não
624.34,8,Salvador,Cartão Crédito,não
75.37,4,Salvador,TED,não
438.57,18,São Paulo,Cartão Débito,não
184.74,21,Curitiba,TED,sim
350.55,2,Curitiba,TED,não
827.2,20,Salvador,Pix,não
68.05,2,Rio de Janeiro,Pix,não
649.53,5,Brasília,Cartão Débito,sim
98.69,9,Curitiba,Cartão Crédito,não
97.39,4,Salvador,Pix,não
83.22,2,Curitiba,Cartão Crédito,não
155.92,21,Recife,Cartão Débito,não
33.48,23,São Paulo,Pix,não
161.36,6,Brasília,Pix,não
156.05,21,Salvador,Pix,não
287.01,17,São Paulo,Cartão Crédito,não
358.73,22,Rio de Janeiro,Pix,não
116.12,7,Curitiba,Pix,não
72.0,0,Curitiba,DOC,não
60.04,3,Porto Alegre,Boleto,não
43.29,23,São Paulo,Cartão Crédito,não
11.88,6,Rio de Janeiro,TED,não
83.85,13,Salvador,DOC,não
63.01,12,Porto Alegre,Cartão Débito,não
678.75,9,Porto Alegre,Pix,não
163.16,22,Recife,Pix,não
85.32,17,Porto Alegre,Cartão Crédito,não
173.72,0,Porto Alegre,Cartão Crédito,não
29.98,3,Recife,TED,não
117.41,15,Curitiba,Pix,sim
196.83,15,Curitiba,Cartão Crédito,não
134.24,17,Brasília,Boleto,não
102.76,7,Porto Alegre,Cartão Crédito,não
1018.21,9,São Paulo,Cartão Crédito,não
424.58,15,Curitiba,Pix,não
195.32,22,Rio de Janeiro,Cartão Crédito,não
168.5,23,Salvador,Pix,não
193.86,10,São Paulo,Cartão Crédito,não
44.96,5,Brasília,Cartão Crédito,não
100.55,0,Porto Alegre,Boleto,não
8.05,11,Recife,Boleto,não
129.08,5,Brasília,Pix,não
156.63,12,São Paulo,Pix,não
,16,Recife,Pix,não
665.01,0,Rio de Janeiro,Cartão Crédito,sim
480.38,7,Recife,TED,sim
256.13,21,Recife,Pix,não
152.45,7,Rio de Janeiro,Cartão Crédito,não
408.0,23,Curitiba,Pix,não
28.0,10,Curitiba,Cartão Crédito,não
312.62,13,Recife,TED,não
26.67,23,Salvador,TED,não
316.18,9,Desconhecido,Pix,não
64.53,14,Brasília,Cartão Débito,não
419.26,6,Salvador,Pix,sim
576.63,6,Curitiba,Pix,não
32.22,9,Rio de Janeiro,Boleto,não
124.23,3,Porto Alegre,Cartão Crédito,não
792.53,17,Porto Alegre,Pix,não
132.1,9,Recife,Cartão Crédito,não
398.36,18,Recife,Cartão Crédito,não
177.7,13,Porto Alegre,Boleto,não
94.11,12,Brasília,TED,não
67.31,14,Brasília,Pix,não
45.44,15,Brasília,TED,não
286.93,1,São Paulo,Boleto,não
97.73,3,Rio de Janeiro,Pix,não
143.19,20,São Paulo,Boleto,não
135.58,17,Recife,Pix,não
172.21,16,Brasília,TED,não
401.35,9,Brasília,Boleto,não
789.94,20,Porto Alegre,Cartão Crédito,não
104.71,8,Porto Alegre,Boleto,não
351.49,14,Salvador,Pix,não
289.23,11,Brasília,Pix,não
170.44,20,Curitiba,Boleto,não
624.93,8,Porto Alegre,DOC,não
44.75,13,Rio de Janeiro,Boleto,não
23.14,12,São Paulo,TED,não
384.78,5,Rio de Janeiro,Cartão Crédito,não
115.66,18,Porto Alegre,Cartão Débito,não
375.42,3,Brasília,Pix,não
447.15,19,Recife,Cartão Crédito,não
12.9,16,Curitiba,Pix,não
429.91,18,Porto Alegre,TED,não
118.96,2,Rio de Janeiro,TED,não
142.85,13,Recife,Boleto,sim
197.02,16,Porto Alegre,TED,não
521.77,12,Brasília,Cartão Crédito,não
3.86,8,Salvador,Pix,não
129.57,0,Brasília,Pix,não
232.77,16,Brasília,Pix,não
256.54,15,Brasília,Boleto,não
235.88,17,Porto Alegre,Pix,não
28.87,1,Salvador,TED,não
71.16,13,Curitiba,Pix,não
88.86,21,Curitiba,Pix,não
326.37,22,Rio de Janeiro,Pix,não
65.36,16,Porto Alegre,Pix,não
47.32,2,Salvador,TED,não
631.41,1,Salvador,DOC,sim
1.78,7,Brasília,Pix,não
1225.76,1,Curitiba,Boleto,sim
225.91,1,Porto Alegre,Pix,não
352.6,8,Recife,TED,não
69.8,19,Curitiba,Cartão Crédito,não
2.88,20,Curitiba,Boleto,não
267.78,5,Salvador,Cartão Débito,não
359.33,11,Rio de Janeiro,TED,não
269.78,8,Curitiba,Cartão Crédito,não
30.83,6,Recife,Cartão Crédito,não
280.02,11,Brasília,Cartão Crédito,não
293.0,4,São Paulo,Cartão Débito,não
214.91,15,Rio de Janeiro,Pix,não
290.59,4,Recife,Pix,sim
374.06,11,Rio de Janeiro,Boleto,não
190.18,23,Porto Alegre,TED,não
18.56,19,Brasília,Cartão Crédito,não
133.74,8,Curitiba,Pix,não
16.17,22,Porto Alegre,Cartão Crédito,não
104.7,6,Curitiba,Pix,sim
104.55,18,Salvador,Pix,sim
13.66,19,Recife,Cartão Débito,não
85.79,22,Brasília,Pix,não
23.53,10,São Paulo,Pix,sim
330.3,20,São Paulo,Pix,não
590.11,11,Curitiba,Cartão Crédito,não
15.01,2,Porto Alegre,Cartão Crédito,não
620.73,16,Salvador,Cartão Crédito,não
147.87,6,Brasília,DOC,não
71.21,21,Brasília,TED,não
16.0,9,Recife,Pix,não
138.88,22,Porto Alegre,Pix,não
,14,São Paulo,DOC,não
245.58,1,Recife,Boleto,não
10.31,12,Rio de Janeiro,Pix,não
15.14,3,Brasília,Pix,não
103.13,17,São Paulo,Pix,não
69.99,23,Recife,TED,não
52.89,22,Curitiba,Pix,sim
65.98,0,Rio de Janeiro,Pix,não
325.4,1,Recife,Pix,não
529.66,1,Curitiba,Cartão Crédito,sim
103.87,3,São Paulo,Pix,não
473.13,2,São Paulo,Cartão Crédito,não
77.57,16,Rio de Janeiro,TED,não
129.42,13,Curitiba,Boleto,não
51.24,1,Brasília,Pix,não
204.59,15,Salvador,Boleto,não
772.47,10,Salvador,Pix,não
185.01,12,São Paulo,Pix,não
88.58,0,Porto Alegre,Cartão Débito,não
208.72,22,Brasília,Boleto,não
26.23,1,Brasília,Pix,não
439.03,1,Salvador,TED,não
139.87,20,Recife,TED,não
119.33,4,Recife,Cartão Crédito,não
176.31,3,São Paulo,Boleto,não
196.05,11,Brasília,Pix,não
14.9,2,Recife,Pix,não
229.53,19,Curitiba,TED,não
55.4,9,Curitiba,TED,não
250.32,19,Curitiba,DOC,não
345.8,17,Curitiba,Cartão Crédito,não
325.89,20,Brasília,Boleto,sim
160.82,20,Curitiba,TED,não
146.86,20,Brasília,Cartão Crédito,não
30.83,9,Salvador,Pix,não
298.64,0,São Paulo,Boleto,não
63.33,5,São Paulo,Cartão Débito,não
137.31,10,Curitiba,DOC,não
66.89,1,Curitiba,TED,não
28.73,6,Curitiba,Pix,não
198.61,19,São Paulo,Cartão Crédito,não
11.17,20,Recife,TED,não
276.18,20,São Paulo,Cartão Crédito,não
76.42,20,Curitiba,Pix,não
0.03,17,Recife,Pix,não
143.13,20,Recife,Pix,não
9.6,18,Rio de Janeiro,Pix,não
64.64,3,Salvador,Cartão Crédito,não
245.5,12,Brasília,Cartão Crédito,não
12.95,17,Salvador,DOC,sim
365.69,19,Curitiba,Pix,não
0.77,23,Brasília,Pix,não
56.69,12,Rio de Janeiro,Boleto,não
270.11,18,Brasília,Pix,não
76.04,16,Curitiba,Cartão Crédito,não
21.49,0,Rio de Janeiro,Pix,não
89.33,5,Brasília,Boleto,sim
63.05,18,São Paulo,Cartão Crédito,não
369.94,19,Recife,TED,não
75.19,0,Salvador,Cartão Crédito,não
311.12,7,Rio de Janeiro,Cartão Crédito,não
444.89,16,São Paulo,Boleto,não
113.77,20,Curitiba,TED,não
481.46,21,Recife,Pix,sim
94.74,14,Salvador,Cartão Crédito,não
665.28,17,Rio de Janeiro,Boleto,não
18.71,6,Recife,Cartão Crédito,não
232.32,15,Porto Alegre,Boleto,não
136.17,6,Porto Alegre,Pix,não
98.09,16,Desconhecido,Cartão Débito,não
200.32,3,Rio de Janeiro,Pix,não
243.38,11,Brasília,Cartão Débito,não
0.87,12,Recife,Pix,não
36.53,3,Porto Alegre,TED,não
249.69,20,Salvador,TED,não
219.55,0,Porto Alegre,Cartão Débito,não
676.56,0,Recife,Cartão Crédito,sim
286.29,6,Porto Alegre,Cartão Crédito,não
602.26,8,Salvador,TED,não
242.5,0,São Paulo,Pix,não
70.78,15,Porto Alegre,Boleto,não
22.27,17,Porto Alegre,TED,não
304.49,21,Curitiba,Cartão Crédito,não
206.65,14,São Paulo,Cartão Crédito,não
9.88,5,Brasília,TED,não
89.27,1,Rio de Janeiro,Cartão Crédito,não
628.38,8,Salvador,Cartão Crédito,não
138.79,3,Porto Alegre,Cartão Débito,sim
113.38,12,Salvador,Boleto,não
122.39,22,Brasília,Cartão Crédito,não
46.86,21,Brasília,TED,não
92.0,10,São Paulo,Pix,não
92.35,12,Salvador,Pix,não
10.76,10,Rio de Janeiro,Pix,não
291.83,18,Curitiba,Pix,não
107.74,7,Brasília,Pix,não
345.4,6,Curitiba,Cartão Crédito,não
379.89,15,Rio de Janeiro,Boleto,não
47.65,2,Rio de Janeiro,TED,sim
214.21,16,São Paulo,TED,não
127.84,17,Salvador,TED,não
424.31,14,Recife,Pix,não
48.6,16,Salvador,Pix,sim
226.52,10,Porto Alegre,Cartão Crédito,não
187.17,4,São Paulo,Cartão Crédito,não
70.0,15,Salvador,Boleto,não
29.38,14,Curitiba,TED,não
210.9,9,Salvador,Pix,não
268.34,13,São Paulo,TED,não
75.85,1,Rio de Janeiro,Boleto,não
207.03,15,Brasília,Cartão Crédito,sim
100.55,18,Porto Alegre,Pix,não
249.8,7,Porto Alegre,Cartão Crédito,não
44.43,14,Recife,Pix,não
441.85,9,Rio de Janeiro,DOC,não
67.77,4,Porto Alegre,Boleto,não
91.71,19,Porto Alegre,TED,não
11.97,15,Brasília,Boleto,não
23.65,20,Curitiba,Pix,não
145.08,21,Curitiba,TED,não
62.28,11,Curitiba,Pix,não
360.94,22,São Paulo,Pix,não
2.96,12,Curitiba,Pix,não
95.32,8,Curitiba,Boleto,não
82.3,16,São Paulo,Pix,não
3.9,19,Brasília,Pix,não
26.56,11,Rio de Janeiro,Boleto,não
106.77,4,Porto Alegre,Cartão Débito,não
135.8,23,Recife,Cartão Crédito,não
103.6,11,Porto Alegre,Cartão Débito,não
151.4,0,Curitiba,Boleto,não
180.84,19,Curitiba,TED,não
1.99,15,Salvador,Cartão Crédito,não
124.76,11,Porto Alegre,Pix,não
662.08,8,Porto Alegre,Pix,não
146.39,12,Salvador,Pix,não
226.36,16,Curitiba,Pix,não
74.75,16,São Paulo,Boleto,sim
297.44,3,São Paulo,Boleto,não
296.49,13,São Paulo,Pix,não
147.33,18,Recife,Cartão Débito,não
746.06,6,Rio de Janeiro,Boleto,não
26.83,2,Curitiba,TED,não
3.42,0,Brasília,Cartão Débito,não
294.07,11,Porto Alegre,Pix,não
329.17,14,Porto Alegre,Cartão Crédito,não
25.61,10,Curitiba,TED,não
61.74,9,Curitiba,Boleto,não
3.54,1,Curitiba,Cartão Débito,não
69.43,3,Porto Alegre,DOC,não
296.69,16,Salvador,Pix,não
145.95,16,Curitiba,Pix,não
85.57,7,Porto Alegre,Pix,não
92.96,22,Rio de Janeiro,Cartão Crédito,não
0.27,13,Brasília,Pix,não
71.28,23,São Paulo,Pix,não
207.95,3,Salvador,Cartão Crédito,não
731.43,5,Brasília,Pix,sim
,18,Curitiba,Cartão Crédito,sim
4.78,23,Brasília,Pix,não
457.66,3,Curitiba,Pix,não
305.75,2,Brasília,Pix,não
303.17,19,Recife,Cartão Débito,não
122.5,5,Brasília,TED,não
101.5,22,São Paulo,Pix,não
72.17,6,São Paulo,DOC,não
13.59,13,Salvador,Boleto,não
51.82,11,Brasília,Pix,não
56.63,15,Porto Alegre,Cartão Crédito,não
132.36,19,Porto Alegre,Pix,não
275.22,7,Porto Alegre,Pix,não
128.42,22,Brasília,DOC,não
11.92,1,Porto Alegre,Pix,não
633.02,12,Rio de Janeiro,Cartão Débito,não
571.98,7,Brasília,Pix,não
307.6,20,São Paulo,Cartão Crédito,não
949.53,19,Salvador,Pix,sim
157.26,15,Porto Alegre,Cartão Crédito,não
658.12,3,Recife,Pix,sim
15.72,15,Porto Alegre,Cartão Débito,sim
91.04,19,São Paulo,Pix,não
51.08,5,Rio de Janeiro,Cartão Crédito,não
43.59,3,Brasília,DOC,não
30.35,15,Porto Alegre,TED,não
194.79,22,Recife,Pix,não
304.03,22,Salvador,Cartão Crédito,não
172.69,20,São Paulo,Pix,não
31.79,12,Salvador,Cartão Crédito,não
333.33,4,Salvador,TED,não
202.1,14,Recife,Cartão Débito,não
98.26,7,Curitiba,Boleto,não
224.25,6,São Paulo,Pix,não
60.2,13,Curitiba,TED,não
84.68,6,Recife,Pix,não
498.96,21,Brasília,Pix,sim
68.64,6,Brasília,Pix,não
126.97,22,Brasília,Cartão Crédito,sim
441.71,17,Salvador,Cartão Crédito,não
246.01,9,Curitiba,Pix,não
12.84,17,Salvador,DOC,não
31.87,13,Brasília,Pix,não
1.57,9,Salvador,Pix,não
199.35,6,Rio de Janeiro,Pix,não
118.72,6,São Paulo,Cartão Crédito,não
28.84,6,São Paulo,Cartão Débito,não
633.7,4,Salvador,Pix,sim
150.86,0,Recife,Pix,não
55.39,13,Porto Alegre,Pix,não
138.87,17,Curitiba,Cartão Débito,sim
227.65,12,São Paulo,Pix,não
15.86,7,Salvador,Boleto,não
64.24,7,Curitiba,Cartão Crédito,não
328.98,9,Recife,Pix,não
123.11,16,Brasília,Boleto,não
158.19,5,Porto Alegre,Pix,não
113.41,14,Recife,Cartão Crédito,não
8.98,14,Rio de Janeiro,Pix,não
36.24,15,Brasília,Cartão Débito,não
117.95,7,Brasília,Cartão Débito,não
46.94,18,Brasília,Cartão Crédito,não
10.25,19,Recife,TED,não
371.13,14,Rio de Janeiro,Cartão Crédito,não
794.7,2,Porto Alegre,Pix,sim
315.15,5,Curitiba,Pix,não
384.54,7,Recife,Pix,não
55.41,15,São Paulo,Boleto,não
646.93,14,São Paulo,Cartão Crédito,não
43.86,12,Recife,Cartão Débito,não
604.95,19,Curitiba,Boleto,não
1052.56,14,São Paulo,Cartão Crédito,não
248.77,17,Curitiba,Cartão Crédito,não
794.18,12,Brasília,Cartão Débito,não
168.58,23,Recife,TED,não
60.1,7,Brasília,Pix,sim
114.89,13,São Paulo,TED,não
180.06,10,Curitiba,Boleto,não
15.18,5,Brasília,Boleto,não
194.75,23,São Paulo,Cartão Débito,não
794.54,0,Salvador,Cartão Débito,sim
42.17,1,Rio de Janeiro,TED,não
314.62,12,Brasília,Pix,não
476.97,0,Rio de Janeiro,Pix,não
575.42,23,Rio de Janeiro,Pix,não
644.45,23,Porto Alegre,TED,não
147.4,3,São Paulo,Cartão Crédito,não
757.15,23,Recife,TED,não
283.19,22,Curitiba,Boleto,não
35.27,1,Salvador,Pix,não
129.6,20,São Paulo,TED,não
,19,Porto Alegre,Cartão Crédito,não
56.83,15,Porto Alegre,Cartão Crédito,não
204.67,2,Salvador,Pix,não
219.68,16,Brasília,Cartão Crédito,não
35.51,4,Curitiba,Pix,não
166.52,7,Porto Alegre,Boleto,não
295.35,11,Recife,Pix,não
138.19,22,São Paulo,Boleto,não
2.44,11,Recife,Pix,não
1.82,0,Brasília,Boleto,não
88.33,0,São Paulo,Boleto,não
521.26,14,Brasília,Pix,não
51.93,16,Curitiba,Cartão Débito,não
201.22,1,Curitiba,Pix,não
50.23,16,Recife,Cartão Crédito,não
77.62,19,Recife,TED,não
376.83,8,Curitiba,Cartão Crédito,não
261.03,11,Rio de Janeiro,Boleto,sim
20.05,3,Curitiba,Pix,não
111.97,12,Salvador,Pix,sim
5.92,3,São Paulo,DOC,sim
131.13,6,Salvador,Cartão Crédito,não
217.2,13,Brasília,Cartão Débito,não
25.23,8,Curitiba,Pix,não
68.18,22,Curitiba,TED,não
101.45,0,Porto Alegre,Boleto,não
,0,Brasília,DOC,sim
999.79,19,Porto Alegre,Cartão Débito,não
9.19,3,Brasília,Indefinido,sim
286.26,0,Salvador,TED,não
92.96,21,São Paulo,Boleto,não
99.67,9,Brasília,Pix,não
280.7,1,Recife,Cartão Crédito,não
501.25,20,Curitiba,Pix,sim
602.9,23,Brasília,TED,não
172.13,14,São Paulo,Boleto,não
88.36,2,Brasília,Pix,não
309.81,22,Curitiba,Pix,não
57.8,8,Rio de Janeiro,Cartão Débito,não
166.06,16,Brasília,Cartão Débito,não
88.81,20,Recife,Cartão Débito,não
213.79,12,Curitiba,Cartão Débito,não
54.99,2,São Paulo,Pix,não
42.54,3,Salvador,Pix,não
500.79,3,Salvador,Pix,sim
21.47,10,Curitiba,Cartão Crédito,não
141.03,6,Porto Alegre,Cartão Crédito,não
49.91,10,Rio de Janeiro,Boleto,não
7.94,23,São Paulo,Cartão Débito,não
7.34,10,Rio de Janeiro,Boleto,não
38.53,9,Salvador,Pix,sim
403.14,4,Rio de Janeiro,Pix,não
66.39,12,Recife,Pix,não
600.99,11,Salvador,Pix,não
174.27,9,Brasília,TED,sim
114.76,6,Recife,Cartão Crédito,não
173.54,18,Recife,Pix,não
145.42,18,Porto Alegre,Cartão Crédito,sim
284.41,18,Recife,TED,sim
66.4,11,São Paulo,Cartão Débito,não
87.1,19,Brasília,Cartão Crédito,não
449.04,21,Brasília,Cartão Débito,não
585.45,14,Salvador,Pix,não
446.16,4,São Paulo,Pix,não
108.76,23,Recife,DOC,não
303.16,13,Recife,Pix,não
129.38,11,Rio de Janeiro,TED,não
137.65,20,Salvador,Pix,não
45.8,10,Salvador,TED,não
178.87,4,Rio de Janeiro,Cartão Débito,não
41.19,15,Porto Alegre,Pix,não
80.56,17,Curitiba,Cartão Débito,não
386.25,11,Rio de Janeiro,Pix,não
46.41,4,Brasília,Pix,não
14.76,15,São Paulo,DOC,não
14.3,11,Recife,Cartão Crédito,não
565.31,22,Curitiba,Cartão Crédito,sim
141.42,1,Rio de Janeiro,Cartão Crédito,não
105.33,5,Salvador,Pix,não
333.07,22,Curitiba,Pix,não
361.37,20,São Paulo,Pix,não
80.75,3,São Paulo,Pix,não
236.58,12,Salvador,Cartão Débito,sim
294.91,9,Curitiba,Cartão Débito,não
212.64,16,Curitiba,Pix,não
32.88,13,Porto Alegre,Cartão Crédito,não
417.31,23,Curitiba,Boleto,não
154.91,14,Recife,Pix,não
,7,Brasília,TED,não
110.76,22,Rio de Janeiro,TED,sim
7.66,23,Salvador,Boleto,não
27.36,17,Rio de Janeiro,Pix,não
290.1,2,Rio de Janeiro,Cartão Débito,sim
0.0,16,Curitiba,TED,não
107.76,23,Salvador,Pix,não
147.84,23,Curitiba,Pix,sim
11.24,6,Porto Alegre,Cartão Crédito,não
722.96,12,Curitiba,Boleto,não
51.27,15,Porto Alegre,Cartão Crédito,não
72.54,4,Porto Alegre,Pix,não
72.46,3,Recife,Pix,não
52.38,9,Recife,TED,não
0.29,12,Recife,Pix,sim
261.38,9,Recife,Boleto,não
681.32,13,São Paulo,Pix,não
50.8,21,Recife,Pix,não
217.56,11,Recife,Pix,não
270.88,0,Recife,TED,não
377.34,20,Porto Alegre,Cartão Crédito,não
109.85,19,Rio de Janeiro,Cartão Crédito,sim
72.17,19,Salvador,Cartão Crédito,não
78.7,6,Rio de Janeiro,Boleto,sim
249.39,8,Rio de Janeiro,Pix,não
339.41,7,Brasília,Cartão Crédito,sim
40.08,12,São Paulo,Pix,não
92.71,13,Porto Alegre,Cartão Crédito,não
464.44,11,Curitiba,Cartão Crédito,não
328.7,7,Porto Alegre,Boleto,não
838.06,20,Recife,Pix,não
280.69,21,Rio de Janeiro,Cartão Débito,não
99.91,17,Porto Alegre,Cartão Crédito,não
178.63,15,São Paulo,Cartão Crédito,sim
216.36,10,Recife,Pix,não
16.34,15,Brasília,TED,não
157.27,13,Curitiba,Pix,não
247.11,2,Recife,TED,sim
36.62,20,Salvador,Boleto,não
303.4,1,Curitiba,Cartão Crédito,não
175.3,2,Porto Alegre,Pix,não
608.24,3,Recife,Boleto,sim
8.67,21,Brasília,Pix,não
61.67,4,Porto Alegre,TED,não
